icao,iata,name,callsign,country,active
AGZ,"",Agrolet-Mci,AGROLET,Slovakia,N
AIH,"",Alpine Air Chile,ALPINE CHILE,Chile,N
AJA,"",A J Services,AYJAY SERVICES,United Kingdom,N
AKY,"",Yak-Service,YAK-SERVICE,Russia,N
ALO,"",Allegheny Commuter Airlines,ALLEGHENY,United States,Y
ANG,PX,Air Niugini,NUIGINI,Papua New Guinea,Y
ANV,"",Air Nevada,AIR NEVADA,United States,N
AQL,"",Aquila Air Ltd.,AQUILA,Canada,N
AQO,"",Aluminum Company Of America,ALCOA SHUTTLE,United States,N
ARJ,"",Aerojet de Costa Rica, S.A.,"",N
ASV,"",Astravia-Bissau Air Transports Ltd.,ASTRAVIA,Guinea-Bissau,N
ATC,TC,Air Tanzania,TANZANIA,Tanzania,Y
ATE,"",Atlantis Transportation Services, Ltd.,ATLANTIS CANADA,N
ATX,"",Warwickshire Aerocentre Ltd.,AIRTAX,United Kingdom,N
AWA,Y5,Asia Wings,"",Kazakhstan,Y
AWK,"",Airwork,AIRWORK,New Zealand,N
AWM,AW,Asian Wings Airways,Asian Star,Burma,Y
AXC,"",Indochina Airlines,Airspup,Vietnam,Y
AXM,AK,AirAsia,ASIAN EXPRESS,Malaysia,Y
AZA,AZ,Alitalia,ALITALIA,Italy,Y
BAH,"",The Amiri Flight,BAHRAIN,Bahrain,N
BAN,"",British Antarctic Survey,PENGUIN,United Kingdom,N
BAT,"",Premiair,BALLISTIC,Luxembourg,N
BAY,"",Bayon Airlines,BAYON,Cambodia,N
BBS,"",Beibars CJSC,BEIBARS,Kazakhstan,N
BBT,"",Air Bashkortostan,AGYDAL,Russia,N
BEK,"",Berkut Air,BERKUT,Kazakhstan,N
BEU,"",Bateleur Air,"",South Africa,Y
BFF,"",Air Baffin,AIR BAFFIN,Canada,N
BGT,"",Bergen Air Transport,BERGEN AIR,Norway,N
BHA,"",Buddha Air,BUDDHA AIR,Nepal,N
BNG,"",BN Group Limited,VECTIS,United Kingdom,N
BNW,"",British North West Airlines,BRITISH NORTH,United Kingdom,N
BON,JA,Air Bosna,AIR BOSNA,Bosnia and Herzegovina,Y
BRA,BU,Braathens,Braathens,Norway,N
BUN,"",Buryat Airlines Aircompany,BURAL,Russia,N
CDN,CP,Canadian Airlines,CANADIAN,Canada,Y
CEO,"",Comfort Express Virtual Charters,"",United States,Y
CFE,CJ,BA CityFlyer,FLYER,United Kingdom,Y
CGB,"",Air Cargo Belize,CARGO BELIZE,Belize,N
CGN,2Z,Changan Airlines,CHANGAN,China,N
CIV,"",Civil Aviation Authority of New Zealand,CIVAIR,New Zealand,N
CIX,G3,City Connexion Airlines,CONNEXION,Burundi,Y
CJC,9L,Colgan Air,COLGAN,United States,Y
CLZ,"",Cloud 9 Air Charters,CLOUDLINE,South Africa,N
CNK,"",Sunwest Home Aviation,CHINOOK,Canada,N
COH,"",Coltishall Flying Training Unit,COLT,United Kingdom,N
CPH,"",Champagne Airlines,CHAMPAGNE,France,N
CPT,"",Corporate Air,AIR SPUR,United States,N
CRL,SS,Corsairfly,CORSAIR,France,Y
CRN,"",Empresa Aerocaribbean,AEROCARIBBEAN,Cuba,N
CRY,"",Primavia Limited,CARRIERS,United Kingdom,N
CSK,"",Flightcraft,CASCADE,United States,N
CTG,"",Canadian Coast Guard,CANADIAN COAST GUARD,Canada,N
DAN,"",Dan-Air London,"",United Kingdom,N
DAV,"",Dornier Aviation Nigeria,DANA AIR,Nigeria,N
DAY,"",Daya Aviation,DAYA,Sri Lanka,N
DBD,"",Air Niagara Express,AIR NIAGARA,Canada,N
DCO,"",David Crawshaw Consultants Limited,"",United Kingdom,N
DER,"",Deer Jet,DEER JET,China,N
DIN,"",Aerodin,AERODIN,Mexico,N
DIX,"",Dix Aviation,DIX FLIGHT,Germany,N
DJT,"",Denver Jet,DENVER JET,United States,N
DOB,QD,Dobrolet,DOBROLET,Russia,Y
DOJ,"",Justice Prisoner and Alien Transportation System,JUSTICE,United States,N
DRM,"",Airways Flight Training,DARTMOOR,United Kingdom,N
DSY,DH,Dennis Sky,DSY,Israel,Y
DTR,DX,DAT Danish Air Transport,DANISH,Denmark,Y
EAS,"",Executive Aerospace,AEROSPACE,South Africa,N
EAT,"",Air Transport,TRANS EUROPE,Slovakia,N
EBC,"",Aero Ejecutivo De Baja California,CALIXJET,Mexico,N
ECN,"",Euro Continental AIE,EURO CONTINENTAL,Spain,N
ECT,"",East Coast Airways,EASTWAY,South Africa,N
EHM,EH,Euro Harmony,"",Portugal,N
EJS,"",Eurojet Servis,EEJAY SERVICE,Czech Republic,N
EKC,"",East Kansas City Aviation,BLUE GOOSE,United States,N
ENA,"",Direccion General de Aviacion Civil y Telecomunicasciones,ENA,Spain,N
ENS,"",Entergy Services,ENTERGY SHUTTLE,United States,N
ENW,"",Aeronaves Del Noroeste,AERONOR,Spain,N
ENY,"",Envoy Air,Envoy,United States,Y
EQL,KY,Air S,EQUATORIAL,Air S,N
ERV,"",Yerevan-Avia,YEREVAN-AVIA,Armenia,N
ES2,E1,Usa Sky Cargo,USKY,United States,Y
FAB,7F,First Air,"",Canada,Y
FAC,"",Atlantic Helicopters,FAROECOPTER,Denmark,N
FCS,"",Facts Air,MEXFACTS,Mexico,N
FDP,"",Flight Dispatch Services,"",Poland,N
FER,"",Feria Aviacion,FERIA,Spain,N
FIX,"",Airfix Aviation,AIRFIX,Finland,Y
FJI,FJ,Air Pacific,PACIFIC,Fiji,Y
FKI,"",FLM Aviation Mohrdieck,KIEL AIR,Germany,N
FLU,"",Flugschule Basel,YELLOW FLYER,Switzerland,N
FMS,"",Hadison Aviation,HADI,United States,N
GAK,"",Global Aviation and Services Group,AVIAGROUP,Libya,N
GDC,"",Grand China Air,GRAND CHINA,China,Y
GES,GP,Gestair,GESTAIR,Spain,N
GGL,"",Aeronautica,GIRA GLOBO,Angola,N
GHA,"",Ghana Airways,GHANA,Ghana,N
GHV,"",Ground Handling Service de Mexico,GROUND HANDLING,Mexico,N
GLT,"",Aero Charter,GASLIGHT,United States,N
GML,"",G & L Aviation,GEEANDEL,South Africa,N
GOI,"",Gofir,SWISS HAWK,Switzerland,N
GPC,"",Gulf Pearl Air Lines,AIR GULFPEARL,Libya,N
GRT,"",Gabon-Air-Transport,"",Gabon,N
GUL,"",Gull Air,GULL-AIR,United States,N
GVG,"",Flygaktiebolaget Gota Vingar,BLUECRAFT,Sweden,N
GVN,"",Gavina,GAVINA,Spain,N
GWL,IJ,Great Wall Airlines,GREAT WALL,China,N
GZP,4G,Gazpromavia,GAZPROMAVIA,Russia,Y
HAP,"",Helicopteros Aero Personal,HELIPERSONAL,Mexico,N
HBU,"",Universal Avia,KHARKIV UNIVERSAL,Ukraine,N
HCN,"",Halcyon Air/Bissau Airways,HALCYON,Guinea-Bissau,N
HEB,"",Heli Bernina,HELIBERNINA,Switzerland,N
HEI,"",Aerohein,AEROHEIN,Chile,N
HFR,8H,Heli France,HELIFRANCE,France,Y
HKR,"",Hawk Air,AIR HAW,Argentina,N
HKS,"",CHC Helikopter Service,HELIBUS,Norway,N
HLF,HF,Hapagfly,HAPAG LLOYD,Germany,Y
HPJ,"",Hop-A-Jet,HOPA-JET,United States,N
HPS,"",Horizon Plus,HORIZON PLUS,Bangladesh,N
HRT,"",Chartright Air,CHARTRIGHT,Canada,N
HTS,"",Helitrans Air Service,HELITRANS,United States,N
IAW,IA,Iraqi Airways,IRAQI,Iraq,Y
IBX,FW,Ibex Airlines,IBEX,Japan,Y
ICA,"",Icaro,ICARFLY,Italy,N
ICX,"",International Charter Xpress,INTEX,United States,N
IDP,"",Independent Air Freighters,INDEPENDENT,Australia,N
IGS,"",Isle Grande Flying School,ISLA GRANDE,United States,N
INP,"",Peruvian Navy,"",Peru,N
INV,"",Inversija,INVER,Latvia,N
INX,"",Inter Express,INTER-EURO,Turkey,N
IRC,EP,Iran Aseman Airlines,"",Iran,Y
IRT,"",Irtysh Airlines,IRTYSH AIRLINES,Uzbekistan,N
ITC,"",International Air Carrier Association,"",Belgium,N
IVS,"",Ivoire Aero Services,IVOIRE AERO,Ivory Coast,N
JDA,"",JDAviation,JAY DEE,United Kingdom,N
JFS,"",Juanda Flying School,JAEMCO,Indonesia,N
JFY,"",Foster Yeoman,YEOMAN,United Kingdom,N
JGO,SG,JetsGo,JETSGO,Canada,N
JOA,"",Air Swift Aviation,"",Australia,N
JPQ,"",Jett Paqueteria,JETT PAQUETERIA,Mexico,N
JPR,"",Aerosmith Aviation,JASPER,United States,N
JSA,3K,Jetstar Asia Airways,JETSTAR ASIA,Singapore,Y
JTC,"",Jet Trans Aviation,JETRANS,Ghana,N
JTG,"",Jettime,JETTIME,Denmark,N
JTU,"",Zhetysu,ZHETYSU,Kazakhstan,N
KHB,H8,Dalavia,DALAVIA,Russia,Y
KIA,KP,Kiwi International Air Lines,KIWI AIR,United States,N
KKA,"",Kazavia,KAKAIR,Kazakhstan,N
KLZ,"",Aerokaluz,AEROKALUZ,Mexico,N
KMC,"",Kahama Mining Corporation,KAHAMA,Tanzania,N
KNX,"",Knighthawk Air Express,KNIGHT FLIGHT,Canada,N
KOK,"",Horizon Air Service,KOKO,United States,N
KRN,"",Kaz Agros Avia,ANTOL,Kazakhstan,N
KTR,"",HT Helikoptertransport,COPTER TRANS,Sweden,N
KZK,9Y,Air Kazakhstan,Kazakh,Kazakhstan,Y
LAR,"",Lawrence Aviation,LAWRENCE,United States,N
LAW,"",Link Airways of Australia,"",Australia,N
LBR,"",Elbe Air Transport,MOTION,Germany,N
LBY,"",Belle Air,ALBAN-BELLE,Albania,N
LED,"",Blom Geomatics,SWEEPER,Norway,N
LEL,"",Leonsa De Aviacion,LEONAVIA,Spain,N
LFA,"",Air Alfa,"",Turkey,Y
LFC,"",Aero Control Air,LIFE FLIGHT CANADA,Canada,N
LHC,"",London Helicopter Centres,MUSTANG,United Kingdom,N
LKE,"",Lucky Air,LUCKY AIR,China,N
LKW,"",Top Sky International,TOPINTER,Indonesia,N
LLR,CD,Alliance Air,ALLIED,India,N
LMN,"",Lineas Aereas Monarca,LINEAS MONARCA,Mexico,N
LPA,"",Pal Aerolineas,LINEASPAL,Mexico,N
LPN,L7,Laoag International Airlines,LAOAG AIR,Philippines,N
LRA,"",Little Red Air Service,LITTLE RED,Canada,N
LTU,LT,Air Lituanica,LITUANICA,Lithuania,Y
LXA,"",Luxaviation,RED LION,Luxembourg,N
MAC,R5,Malta Air Charter,MALTA CHARTER,Malta,Y
MAI,L6,Mauritania Airlines International,"",Mauritania,Y
MBR,"",Brazilian Navy Aviation,BRAZILIAN NAVY,Brazil,N
MCE,"",Marshall Aerospace,MARSHALL,United Kingdom,N
MCY,"",Ambulance Air Africa,MERCY,South Africa,N
MDP,"",Medallion Air,MEDALS,Romania,Y
MFS,"",Miller Flying Services,MILLER TIME,United States,N
MHA,"",Mountain High Aviation,MOUNTAIN HIGH,United States,N
MID,"",Midland Airport Services,"",United Kingdom,N
MJB,"",Magic Blue Airlines,MAGIC BLUE,Netherlands,N
MNL,"",Miniliner,MINILINER,Italy,N
MPC,"",Mountain Pacific Air,MOUNTAIN PACIFIC,Canada,N
MPD,A7,Air Plus Comet,RED COMET,Spain,Y
MPJ,"",MAP-Management and Planung,MAPJET,Austria,N
MSH,"",US Marshals Service,MARSHALAIR,United States,N
MTC,N4,Mountain Air Company,MOUNTAIN LEONE,Sierra Leone,N
MTD,"",MacKnight Airlines,"",Australia,N
MTL,"",RAF-Avia,MITAVIA,Latvia,N
MTN,"",Mountain Air Cargo,MOUNTAIN,United States,N
MVY,"",VIM-Aviaservice,"",Russia,N
MXS,"",Maxsus-Avia,MAXSUS-AVIA,Uzbekistan,N
MZK,"",AVC Airlines,"",Japan,N
NAH,"",Nahanni Air Services Ltd,NAHANNI,Canada,N
NEE,"",Northeast Airlines,NORTHEAST,United States,N
NEF,"",Nord-Flyg,NORDEX,Sweden,N
NFD,"",Nürnberger Flugdienst,"",Germany,N
NGA,"",Nigeria Airways,NIGERIA,Nigeria,N
NGV,"",Angoavia,ANGOAVIA,Angola,N
NLT,"",Newfoundland Labrador Air Transport,NALAIR,Canada,N
NSC,"",Societe De Transport Aerien De Mauritanie,TRANS-SOCIETE,Mauritania,N
NX1,"",Nihon.jet connect,"",Kyrgyzstan,Y
OAB,O1,Orbit Airlines Azerbaijan,Orbitaz,Azerbaijan,Y
OAW,2L,Helvetic Airways,HELVETIC,Switzerland,Y
OCN,"",O Air,O-BIRD,France,N
ODS,"",Odessa Airlines,ODESSA AIR,Ukraine,N
ONG,"",Sonnig SA,SONNIG,Switzerland,N
OSO,"",Aviapartner Limited Company,"",Russia,N
PAE,"",Paisajes Espanoles,PAISAJES,Spain,N
PAM,"",Phoenix Air Service,PHOENIX,Germany,N
PAO,PH,Polynesian Airlines,POLYNESIAN,Samoa,Y
PCF,"",Pacific Air Express,PACIFIC EXPRESS,United States,N
PEX,"",Pelican Express,PELICAN EXPRESS,United States,N
PFN,"",Pan African Air Services,PANAFRICAN,Sierra Leone,N
PFR,"",Pacificair Airlines,PACIFIC WEST,United States,N
PGH,"",Pulkovo Aircraft Services,"",Russia,N
PHB,"",Phoebus Apollo Aviation,PHOEBUS,South Africa,N
PIK,"",Polizeihuberschrauberstaffel Sachsen-Anhalt,POLICE IKARUS,Germany,N
PLF,"",Polish Air Force,POLISH AIRFORCE,Poland,N
PMS,"",Planemaster Services,PLANEMASTER,United States,N
PMT,U4,PMTair,MULTITRADE,Cambodia,Y
PMY,"",Phetchabun Airline,PHETCHABUN AIR,Thailand,N
PNL,"",Aero Personal,AEROPERSONAL,Mexico,N
PNM,"",Panorama,PANORAMA,Spain,N
PPW,"",Royal Phnom Penh Airways,PHNOM-PENH AIR,Cambodia,Y
PSE,"",Aeroservicio Sipse,SIPSE,Mexico,N
PSL,"",Aeroservicios Corporativos De San Luis,CORSAN,Mexico,N
PSN,"",Potosina Del Aire,POTOSINA,Mexico,N
PSR,"",Polestar Aviation,POLESTAR,United Kingdom,N
PTA,"",Ptarmigan Airways,PTARMIGAN,Canada,N
PTL,"",Providence Airline,PLANTATION,United States,N
PTN,P8,Pantanal Linhas Aéreas,PANTANAL,Brazil,N
QAF,"",Qatar Amiri Flight,AMIRI,Qatar,N
QAQ,"",Qurinea Air Service,QURINEA AIR,Libya,N
RAI,"",Aerotur-Air,DIASA,Kazakhstan,N
RAN,"",Renan,RENAN,Moldova,N
RAU,"",Uganda Royal Airways,UGANDA ROYAL,Uganda,N
RCB,"",Real Aero Club De Baleares,BALEARES,Spain,N
RCD,"",Real Aeroclub De Ternerife,AEROCLUB,Spain,N
RDR,"",Goodridge (UK) Limited,RED STAR,United Kingdom,N
REO,"",Rio Airways,RIO,United States,N
RFI,"",National Air Traffic Services,SHERLOCK,United Kingdom,N
RGR,"",Region Air,REGIONAIR,Canada,N
RIU,"",Riau Airlines,RIAU AIR,Indonesia,N
RML,MV,Armenian International Airways,"",Armenia,N
RMT,"",Ram Aircraft Corporation,RAM FLIGHT,United States,N
RND,"",Rutland Aviation,RUTLAND,United Kingdom,N
ROS,"",Rossair Europe,CATCHER,Netherlands,N
ROX,"",Roblex Aviation,ROBLEX,United States,N
RUS,C9,Cirrus Airlines,CIRRUS AIR,Germany,Y
SBO,"",Stabo Air,STABAIR,Zambia,N
SBT,"",Taftan Airlines,TAFTAN,Iran,N
SCM,"",American Jet International,SCREAMER,United States,N
SDS,"",United Kingdom Civil Aviation Authority,STANDARDS,United Kingdom,N
SDV,"",Servicios Aereos Del Vaupes,SELVA,Colombia,N
SEC,"",3D Aviation,SECUREX,United States,N
SEG,"",Eagle International,SEN-EAGLE,Senegal,N
SEK,"",Skyjet,SKALA,Kazakhstan,N
SEU,SE,XL Airways France,STARWAY,France,Y
SFN,"",Safiran Airlines,SAFIRAN,Iran,N
SGC,"",Southern Right Air Charter,SOUTHERNRIGHT,South Africa,N
SGP,"",Sagolair Transportes Ejecutivos,SAGOLAIR,Spain,N
SHA,SH,Sharp Airlines,SHARP,Australia,Y
SIR,"",Salair,SALAIR,United States,N
SJU,UQ,Skyjet Airlines,SKYJET,Uganda,Y
SKI,RU,SkyKing Turks and Caicos Airways,SKYKING,Turks and Caicos Islands,N
SKP,"",Aero-North Aviation Services,SKIPPER,Canada,N
SKY,BC,Skymark Airlines,SKYMARK,Japan,Y
SNG,V7,Air Senegal International,AIR SENEGAL,Senegal,N
SNX,"",Sun Air Aviation Services,SUNEX,Canada,N
SNY,"",Air Sandy,AIR SANDY,Canada,N
SOG,"",Aero Soga,AEROSOGA,Guinea-Bissau,N
SOT,"",Southeast Correct Craft,SOUTH COURIER,United States,N
SOZ,HZ,Sat Airlines,SATCO,Kazakhstan,Y
STK,"",Aeropac,SAT PAK,United States,N
SUM,"",State Unitary Air Enterprise,SUMES,Russia,N
SVI,"",Servicios De Transporte Aereo,SETRA,Mexico,N
SWC,"",South West Air,SAINT CLAIR,Canada,N
SYT,"",Aerosud Aviation,SKYTRACK,South Africa,N
TAA,"",Aeroservicios de La Costa,AERO COSTA,Mexico,N
TAQ,"",Taunus Air Gmbh,Taunusair,Germany,N
TAX,"",Travelair,TRAVELAIR,Germany,N
TBC,"",Turbine Air Cargo UK,"",United Kingdom,N
TCR,"",Lanaes Aereas Trans Costa Rica,TICOS,Costa Rica,N
TCT,"",Transcontinental Sur,TRANS-CONT,Uruguay,N
TED,"",Aero Servicios Azteca,AEROAZTECA,Mexico,N
TFH,"",Thai Flying Helicopter Service,THAI HELICOPTER,Thailand,N
TGO,"",Transport Canada,TRANSPORT,Canada,N
TGT,"",SAAB Nyge Aero,TARGET,Sweden,N
THK,"",Turk Hava Kurumu Hava Taksi Isletmesi,HUR KUS,Turkey,Y
THR,"",Tehran Airline,TEHRAN AIR,Iran,N
TLM,9F,Tramm Airlines,9F,Netherlands Antilles,N
TME,"",Aero Taxi del Centro de Mexico,TAXICENTRO,Mexico,N
TNA,GE,TransAsia Airways,TransAsia,Taiwan,Y
TNR,"",Tanana Air Services,TAN AIR,United States,N
TPC,TY,Air Cal,AIRCAL,France,N
TST,"",TRAST,TRAST,Kazakhstan,N
TSV,"",Tropair Airservices,TROPIC,United Kingdom,N
TUC,"",Turismo Aereo de Chile,TURICHILE,Chile,N
TWE,"",Transwede Airways,TRANSWEDE,Sweden,N
TXV,"",Puerto Vallarta Taxi Aereo,TAXIVALLARTA,Mexico,N
TXX,"",Austin Express,COWBOY,United States,N
TZU,"",Servicios Aereos Tamazula,TAMAZULA,Mexico,N
UAA,"",University Air Squadron,"",United Kingdom,N
UAY,"",University of Birmingham Air Squadron (RAF),UAY,United Kingdom,Y
UEA,"",United Eagle Airlines,UNITED EAGLE,China,N
UGX,QU,East African,CRANE,Uganda,Y
USX,"",US Express,AIR EXPRESS,United States,N
UTN,"",Trans-Ulgii,TRANS-ULGII,Mongolia,N
UTU,"",Urartu-Air,"",Armenia,N
VER,"",Almaver,ALMAVER,Mexico,N
VHA,"",VH-Air Industrie,AIR V-H,Angola,N
VIN,"",Vinair - Helicoptereos,VINAIR,Portugal,N
VOZ,VA,Virgin Australia,VIRGIN,Australia,Y
VQI,"",Flyme (VP),"",Maldives,Y
VRA,"",Vertair,VERITAIR,United Kingdom,N
VRD,VX,Virgin America,REDWOOD,United States,Y
VTH,"",Vuelos Corporativos de Tehuacan,VUELOS TEHUACAN,Mexico,N
VTM,"",Aeronaves TSM,AERONAVES TSM,Mexico,N
VVN,47,88,"",Cyprus,Y
VZL,"",Vzlyet,VZLYET,Russia,N
WAA,"",Westair Aviation,WESTAIR WINGS,Namibia,N
WAK,K5,Wings of Alaska,WINGS ALASKA,United States,N
WLG,"",Volga Aviaexpress,GOUMRAK,Russia,N
WVL,8Z,Wizz Air Hungary,WIZZBUL,Bulgaria,Y
XCC,"",Ecoturistica de Xcalak,XCALAK,Mexico,N
XDA,"",Bureau Veritas,"",France,N
XGA,"",General Aviation Terminal,"",Canada,N
XKX,"",ASECNA,"",France,N
XNA,"",Express Net Airlines,EXPRESSNET,United States,N
XSR,"",Executive AirShare,"",United States,Y
YCC,YC,Ciel Canadien,Ciel,Canada,Y
---,++,Lombards Air,"",South Africa,N
"..,",EX,Wings of England,"",United Kingdom,N
AAL,AA,American Airlines,AMERICAN,United States,Y
ACD,"",Academy Airlines,ACADEMY,United States,N
ADE,ZY,Ada Air,ADA AIR,Albania,Y
ADJ,"",Abicar,ABICAR,Ivory Coast,N
AEX,"",Airway Express,AVCO,United States,N
AFQ,"",Alba Servizi Aerotrasporti,ALBA,Italy,N
AFR,AF,Air France,AIRFRANS,France,Y
